ADRESSE,COORDONNEE_SPATIALE_X,COORDONNEE_SPATIALE_Y,ELEVATION_TERRAIN,ID_BI,ID_POINT,JURIDICTION,PRECISION_DATE_INSTALL,PROPRIETAIRE,PROVENANCE_DONNEE,LATITUDE,LONGITUDE
101 terrasse Marc-Antoine,269097.69,5029992.662,29.248,7511,21386,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SAINTE-ANNE-DE-BELLEVUE,RELEVE TERRAIN INTERNE,45.40896800929485,-73.95610932550353
455 avenue Lafleur,293399.641,5032581.426,35.538,7360,21017,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.43308143177238,-73.64570703032057
9467-9471 rue Clément,293442.481,5032568.346,35.626,7361,21018,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.43296442643547,-73.64515920755619
481-483 rue Laplante,293927.697,5032479.091,35.912,7380,21071,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.43216897118831,-73.63895585290258
36 rue Birch Hill,273340.603,5031117.745,48.205,8490,23957,LOCALE,DATE INSTALLATION PRECISE 5 ANS MAXIMUM,BAIE URFE,RELEVE TERRAIN INTERNE,45.4192953728063,-73.90197804669673
9266 rue Boivin,293820.021,5031548.246,37.241,8221,23311,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.423791071701935,-73.6403114265496
9004-9008 rue Saint-Hubert,293718.445,5045681.345,34.251,10003453,10072326,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.55096521668814,-73.6419277973642
2326-2348 rue Sherbrooke Est,299988.539,5043819.519,42.242,10003588,10075684,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.53428296589535,-73.56160533060054
12485 rue Breault,278280.654,5041387.379,30.143,10002986,10066936,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51190964418151,-73.83941130444165
1410-1412 rue Serre,295302.871,5032464.121,31.565,10005249,12106830,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.43205428268664,-73.62138012130954
6640 rue Eugène-Achard,301235.712,5052628.794,41.548,10003595,10075745,LOCALE,DATE INSTALLATION PRECISE 5 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.61355931273929,-73.54570164463128
6005 rue Saraguay Ouest,281174.002,5041395.451,21.264,10004197,10085784,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51208633212002,-73.80238142753511
1056-1062 rue Rolland,298588.308,5033915.929,19.071,10003730,10078649,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.445155237391134,-73.5794079682796
1041-1047 rue Allard,298611.127,5034086.213,19.233,10003731,10078653,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.44668779742715,-73.5791184058759
