ADRESSE,COORDONNEE_SPATIALE_X,COORDONNEE_SPATIALE_Y,ELEVATION_TERRAIN,ID_BI,ID_POINT,JURIDICTION,PRECISION_DATE_INSTALL,PROPRIETAIRE,PROVENANCE_DONNEE,LATITUDE,LONGITUDE
12535-12595 avenue Nicolas-Joly,296982.082,5055234.702,24.516,5004594,5051724,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.63697272496263,-73.60028232240522
255 rue Beaubien Ouest,296018.176,5043085.726,62.825,5029243,5339199,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.52764165497261,-73.61242751801963
825-843 boulevard Rosemont,297287.557,5043767.98,68.616,5029251,5339207,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.53379567622221,-73.5961871871597
7075-7117 route Transcanadienne,289073.597,5039128.033,37.073,5026037,5297755,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.49190661675296,-73.70120564823453
10-50 place de la Côte-Vertu,291759.471,5043405.6,32.28,5026044,5297762,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.53045331598359,-73.66695656838941
2266-2270 rue Modugno,289398.233,5040904.744,31.309,5025831,5297549,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.5079013770554,-73.6971079501689
UNKNOWN,291823.26,5032340.2,25.29,1527,5546,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.430883393420736,-73.66584792124327
245-251 9e avenue,291361.88,5032860.54,24.45,1538,5583,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.435556969206814,-73.67175855734494
2938-2940 rue Joseph-Nolin,303086.519,5052095.468,18.936,5001382,5019324,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.60876743999169,-73.52196941104556
9543-9549 rue de Marseille,303087.267,5052352.601,19.275,5001383,5019325,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.61108121674894,-73.52196067779602
3130 rue Liébert,302393.371,5050899.321,29.686,5001075,5015913,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.59800204457432,-73.53085007054017
5214 rue Marceau,277470.15,5040227.75,30.92,10007788,12230590,LOCALE,DATE INSTALLATION PRECISE 6 MOIS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50144391488972,-73.8497197042265
11883 avenue du Bois-de-Boulogne,289865.493,5044683.601,23.541,10007720,12229919,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54191521415091,-73.69124366171462
11755 boulevard O'Brien,289104.273,5043217.637,28.831,10007721,12229923,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.52870698479981,-73.70094426572304
8665 avenue des Ponts-de-Cé,298677.073,5051270.253,33.747,10007723,12229936,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.60131713776518,-73.57849028800408
7979 rue Sherbrooke Est,302077.158,5050795.39,34.517,5001091,5015929,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.597065648157006,-73.53490273641725
8135 avenue Marco-Polo,298464.574,5054208.007,45.585,5004506,5050899,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.62774943177424,-73.58125329515272
1515 boulevard du Tricentenaire,304856.294,5056808.615,12.616,5004059,5045953,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.65117933857665,-73.49927945896461
706 28e avenue,305297.54,5057041.902,14.634,5004029,5045923,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.65327836429896,-73.49361795991156
1158 28e avenue,304866.054,5057135.859,12.564,5004062,5045956,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.654123979539726,-73.49915424775246
6000 chemin de la Côte-de-Liesse,290258.409,5038845.019,42.125,5025386,5297104,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.48938570189612,-73.68603880658091
2533-2555 rue Halpern,285181.506,5038756.741,38.949,5025539,5297257,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.48846682340818,-73.7509858393712
2505 rue des Nations,288291.824,5041485.464,35.174,5025545,5297263,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51310152640204,-73.71128696075112
775 carré Satim,289699.463,5039936.442,37.835,5025580,5297298,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.4991948378654,-73.69322314174093
2950 rue Botham,285812.851,5039901.675,33.59,5025685,5297403,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.49878686959083,-73.74295328293405
2730 avenue Georges-V,303367.955,5052536.203,16.7,5001421,5020222,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,MONTREAL-EST,RELEVE TERRAIN INTERNE,45.61273393017711,-73.51836244325774
3080-3086 avenue Gonthier,303079.884,5052518.644,20.007,5001425,5020226,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.61257531049157,-73.52205589337339
1276 15e avenue,304702.101,5056064.943,12.879,5004008,5045315,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.64448762378212,-73.50125750411593
5455 rue Des Groseilliers,301259.187,5050247.159,36.652,5000931,5014460,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.59212869382044,-73.54538342611605
12695 rue Notre-Dame Est,305716.595,5056486.212,13.098,5003987,5045294,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.64827769867362,-73.48824216165406
8786-8788 rue Paquette,294430.313,5031976.555,34.207,10007869,12231595,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.42765454907729,-73.63252185137168
1185 chemin de la Rive-Boisée,277127.282,5040848.083,30.388,10007793,12230620,LOCALE,DATE INSTALLATION PRECISE 6 MOIS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50701234221749,-73.85414218768938
356 rue du Golf,273490.583,5040948.936,28.4,10007795,12230655,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50776589418755,-73.90068803304554
9350-9374 boulevard Lacordaire,296126.825,5050950.354,34.229,10007379,12225928,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.59841149447015,-73.61117626948072
8 rue Jordan,280868.506,5040744.668,24.803,10007413,12226784,LOCALE,DATE INSTALLATION PRECISE 10 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.506219965072376,-73.80625955890673
12775-12779 rue Notre-Dame Est,305707.793,5056657.662,13.13,5004069,5045963,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.64982046506268,-73.48835479928084
151 boulevard Joseph-Versailles,303811.846,5052767.298,15.279,5004266,5048593,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,MONTREAL-EST,RELEVE TERRAIN INTERNE,45.614814062185,-73.51267151378869
15-17 avenue David,303968.937,5052491.955,13.361,5004267,5048594,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,MONTREAL-EST,RELEVE TERRAIN INTERNE,45.61233668004354,-73.51065687366284
2120 rue Liébert,303464.169,5050463.513,16.348,5001123,5016471,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.59408336027989,-73.5171233056749
10515 rue Notre-Dame Est,304494.012,5053786.122,13.654,5004337,5049497,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,MONTREAL-EST,RELEVE PHOTOGRAMMETRIQUE,45.623982146276695,-73.50392541131929
12244 rue Adrien-Hébert,296871.444,5054387.808,26.545,5004402,5049951,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.62935104405158,-73.60168782524453
5610 avenue Davies,291530.17,5035321.166,42.754,10004172,10085582,LOCALE,DATE INSTALLATION PRECISE,COTE-SAINT-LUC,RELEVE TERRAIN INTERNE,45.45770189880492,-73.66967360388765
5603 avenue Wolseley,291816.321,5035520.232,43.964,10004177,10085628,LOCALE,DATE INSTALLATION PRECISE,COTE-SAINT-LUC,RELEVE TERRAIN INTERNE,45.45949857253312,-73.66602006087523
12284 rue Ontario Est,304236.441,5056239.398,13.151,10003814,10079594,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.64605715554072,-73.50723153294977
661 rue Saint-Germain,291136.207,5041260.118,40.409,10003816,10079613,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51113560464213,-73.6748759601899
6420-6422 rue Pierre-Magnan,299841.578,5049670.392,34.793,10003216,10070461,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.58693016164849,-73.56354664444649
8300-8306 rue Louis-XIV,297316.561,5049461.69,43.63,8058,22892,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.58502977748661,-73.59590309164642
361 rue Aumais,271144.91,5033351.63,29.27,8632,24368,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SAINTE-ANNE-DE-BELLEVUE,RELEVE TERRAIN EXTERNE,45.43929450227025,-73.93018609998468
333 rue Aumais,271271.63,5033407.14,28.61,8633,24370,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SAINTE-ANNE-DE-BELLEVUE,RELEVE TERRAIN EXTERNE,45.43980008653818,-73.92857017997721
19151 avenue Cruickshank,273125.129,5032184.733,30.966,8106,23036,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE TERRAIN EXTERNE,45.42888681022094,-73.90479993668144
9363-9367 terrasse Greenfeld,293399.76,5030934.594,33.392,7440,21218,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.4182623577348,-73.64566757911767
8210-8212 rue de Chamilly,297104.741,5048924.05,46.53,7659,21803,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.580189597224766,-73.59860917106163
893-897 avenue Dollard,295574.886,5042232.685,68.308,5020893,5269679,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.5199598705202,-73.61808639339736
1275-1277 chemin de la Forêt,296949.324,5041234.245,133.417,5020723,5268010,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51099236807688,-73.6004769945145
6600-6640 rue Vanden-Abeele,285247.91,5038528.941,37.147,5025313,5297031,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.48641887886426,-73.75012728009666
4909 avenue Clanranald,294768.773,5037768.575,70.153,5019289,5241348,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.479778850108495,-73.62831360826769
1818-1820 rue Wolfe,300002.139,5042239.346,25.861,5019532,5245664,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.520064157875765,-73.56141585084076
3790-3792 boulevard Décarie,295878.827,5037411.982,81.3,10003201,10070383,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.47658509874783,-73.61410807340198
4625 rue Saint-Ambroise,298143.316,5036858.991,17.427,10004971,12102494,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.471634648871095,-73.5851366952389
4121 rue Saint-Antoine Ouest,297831.038,5037619.385,19.519,10004987,12103230,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.4784738528207,-73.58914135249981
4105-4107 rue Mackenzie,293706.338,5040033.136,56.408,10003073,10069039,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50014017990272,-73.64195482722366
6410-6412 boulevard Langelier,300196.472,5049772.309,36.2,10003217,10070486,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.58784967014539,-73.55899941800237
60-70 chemin de la Côte-Vertu,287734.102,5037707.658,34.854,10003707,10078408,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,DORVAL,RELEVE TERRAIN INTERNE,45.47909405696007,-73.71829388683192
350-400 rue Crevier,291154.107,5040601.606,40.739,10003710,10078429,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50521031040768,-73.67462851055339
10760 rue Meunier,291162.605,5045275.72,22.401,10003879,10081004,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54726985502514,-73.6746501028166
8640 boulevard Saint-Laurent,293821.59,5044616.79,40.471,10003919,10081479,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54138743662042,-73.64058285385318
287-289 1re avenue,297106.685,5032646.251,22.139,10003958,10082087,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.43371535869152,-73.59832923297614
19140 avenue Cruickshank,273266.783,5032208.448,30.655,8182,23203,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE PHOTOGRAMMETRIQUE,45.429106598895146,-73.90299120199805
7670-7676 rue Colbert,297409.591,5048098.49,46.88,8183,23207,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.57276430477966,-73.59469030698492
4505 rue Jean-Talon Est,297947.665,5047888.282,47.465,8230,23333,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.57087832815099,-73.5877932726391
7155-7157 rue de Nogent,298019.958,5047824.417,47.424,8277,23445,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.570304367614376,-73.58686615926851
5090-5096 rue La Durantaye,297536.131,5048993.17,46.507,7666,21821,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.58081614035293,-73.5930823149852
27 croissant Gray,272885.976,5031037.661,39.964,8359,23642,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE TERRAIN EXTERNE,45.41855417811258,-73.90778164435237
315 avenue Stuart,296489.43,5041748.013,80.126,5020831,5268935,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.515610095124735,-73.60637159042095
765 avenue Querbes,296153.635,5042603.957,68.256,5020910,5270035,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.52330816951167,-73.61068476516593
124 chemin du Chenal-Le Moyne,302621.472,5040745.532,13.307,5019735,5248537,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50663561550623,-73.5278810355105
124 chemin du Chenal-Le Moyne,302683.639,5040957.563,13.19,5019736,5248538,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50854373395051,-73.5270863390256
275 rue Notre-Dame Est,300448.797,5040998.121,16.404,5020472,5262992,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.50889829718084,-73.5556872796678
1604-1608 avenue Selkirk,298294.467,5039604.478,63.693,5020123,5253857,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.4963409224516,-73.58323979662921
239-241 boulevard Henri-Bourassa Ouest,291262.069,5045231.994,23.465,10003477,10072678,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54687833797632,-73.67337509908907
634 avenue Saint-Louis,283886.829,5034852.089,29.365,10003632,10077138,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,DORVAL,RELEVE TERRAIN INTERNE,45.45329331940509,-73.76738327994224
2-4 rue du Collège,269294.872,5029478.27,25.499,10003623,10077047,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,SAINTE-ANNE-DE-BELLEVUE,RELEVE TERRAIN INTERNE,45.40434919497766,-73.95355364941855
6001 rue Noël,274598.409,5036588.475,24.494,10003121,10069535,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.46857847999376,-73.88624289777579
5101 rue Legault,274662.651,5036603.302,24.088,10003124,10069558,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.46871466176618,-73.88542224004057
835 rue Saint-Aubin,290264.41,5040796.345,37.96,10005539,12110031,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50694458525917,-73.68601970818634
9593-9595 avenue Souligny,303756.505,5052264.368,15.735,10003385,10071778,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.61028852793215,-73.51338004954532
11075 boulevard Gouin Ouest,280364.254,5041272.313,25.225,7732,22005,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51095034241857,-73.8127388072062
244 avenue Dupras,292200.559,5032388.977,26.464,7750,22057,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.43132919065356,-73.66102720071856
7690-7694 rue Terbois,297729.231,5048672.98,46.37,7683,21865,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.57793697031767,-73.5906032735572
67 rue du Général-Brock,280656.909,5040609.911,25.552,7817,22240,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.50500008982176,-73.80896076647387
87 rue du Général-Brock,280483.569,5040497.57,27.846,7819,22249,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.50398319086336,-73.81117340365276
7010 boulevard Viau,298455.255,5048215.708,46.634,8239,23356,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.57382942126202,-73.58129431993834
5173 rue J.-B.-Martineau,295421.964,5050392.349,34.721,8402,23736,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.59338130114232,-73.62020090062373
404 rue de la Vieille-École,273294.035,5040804.24,30.961,8281,23452,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.5064550508791,-73.90319413827056
9171-9175 boulevard Viau,295822.246,5049914.608,35.362,8455,23867,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.58908770419869,-73.61506144179543
319-321 rue de Magog,293484.638,5031199.65,35.56,8324,23545,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.42064885802113,-73.64458917208718
380-382 avenue Fothergill,293836.705,5031141.774,33.612,8331,23561,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.420133690228695,-73.64008917215433
1615 rue Saint-André,300061.664,5041968.633,27.746,5020528,5264576,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51762862287343,-73.56065131941955
594 rue Sherbrooke Ouest,299089.248,5040631.768,44.865,5020350,5260822,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.505592001391214,-73.57308263737825
420-430 rue Saint-Gabriel,300574.733,5040745.313,20.872,5020475,5262995,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.50662416660328,-73.55407358384801
535 avenue Viger Est,300557.766,5041465.496,17.629,5020485,5263005,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51310446155514,-73.5542967461286
160 chemin du Tour-de-l'Isle,302414.858,5041637.354,15.335,5020685,5267501,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51465993493723,-73.5305294244
1240 rue Saint-Timothée,300376.084,5041810.82,22.744,5020538,5264586,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51621058462037,-73.556625362232
5150-5158 rue Ontario Est,302142.811,5046845.429,19.235,10003259,10070752,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.56152272333758,-73.53403977823514
6251-6263 rue Notre-Dame Est,303207.785,5047891.774,14.45,10003264,10070787,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.57094129046344,-73.52040097421319
2094-2098 rue Sauvé Est,293465.58,5047638.731,39.376,10003435,10072219,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.56857415432855,-73.64521168980365
5701 avenue Smart,291544.434,5035585.65,43.672,10003294,10070964,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,COTE-SAINT-LUC,RELEVE TERRAIN INTERNE,45.46008211247837,-73.66949829184556
48 9e rue,280872.613,5040645.995,25.205,10003303,10071094,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50533222259053,-73.80620219591958
2101-2155 rue Saint-Louis,290634.983,5040170.878,39.549,10005111,12105552,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50132404598294,-73.6812593203207
2968 rue Lapierre,294326.649,5033896.965,23.106,7857,22332,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.44493386306739,-73.63388675277345
52 avenue Tunstall,269358.803,5030912.877,31.69,7870,22364,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SENNEVILLE,RELEVE TERRAIN EXTERNE,45.417261736843805,-73.95283971842872
8511-8513 rue Albanel,297500.42,5050433.25,39.36,7897,22428,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59377419274296,-73.59356144521766
8505-8507 rue Grouard,297479.771,5050325.27,40.64,7902,22437,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.592802337827216,-73.59382443295048
8655 rue Aéterna,297080.441,5050162.65,40.65,7943,22535,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59133471078778,-73.59894005159116
8550 rue des Prévoyants,297232.391,5050047.89,41.81,7945,22541,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59030372082403,-73.5969907685813
1 rue de Châteauneuf,273586.824,5041238.853,25.204,8368,23663,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.51037894558424,-73.89947473964638
15723 rue de la Caserne,276188.138,5038058.881,28.611,8540,24098,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.48187643730182,-73.86599814675988
5505 boulevard des Grandes-Prairies,295697.639,5050841.101,33.138,8415,23761,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.59742291886932,-73.6166757766561
5040 rue Léo-Ouellet,295388.69,5050206.89,35.34,8466,23891,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59171202667772,-73.62062377896629
