YEAR,MONTH,CASERNE,MEDIAN_NOMBRE_UNITES,FIRE_COUNT,AREA_SQ_KM,FIRE_COUNT_SQ_KM,LOG_MEDIAN_NOMBRE_UNITES,LOG_FIRE_COUNT_SQ_KM,SEVERITY_RISK,FREQUENCY_RISK
2005,2,3,6.0,1,1.33,0.75,1.791759469228055,0.5596157879354227,41.0,18.0
2005,2,4,1.0,12,5.47,2.19,0.0,1.1600209167967532,0.0,39.0
2005,2,5,2.0,11,1.31,8.4,0.6931471805599453,2.2407096892759584,16.0,76.0
2005,2,8,6.0,5,12.33,0.41,1.791759469228055,0.34358970439007686,41.0,11.0
2005,2,9,5.5,8,9.29,0.86,1.7047480922384253,0.6205764877251098,39.0,20.0
2005,2,10,3.0,4,2.65,1.51,1.0986122886681098,0.9202827531436925,25.0,31.0
2005,2,13,5.0,5,3.55,1.41,1.6094379124341003,0.8796267475025636,37.0,28.999999999999996
2005,2,14,7.5,6,10.31,0.58,2.0149030205422647,0.4574248470388755,46.0,15.0
2005,2,15,6.0,6,6.6,0.91,1.791759469228055,0.6471032420585385,41.0,21.0
2005,2,16,1.0,4,2.72,1.47,0.0,0.9042181506398858,0.0,30.0
2005,2,17,2.0,7,4.89,1.43,0.6931471805599453,0.887891257352457,16.0,28.999999999999996
2005,2,18,5.0,9,6.02,1.5,1.6094379124341003,0.9162907318741551,37.0,30.0
2005,2,19,6.0,5,8.29,0.6,1.791759469228055,0.47000362924573563,41.0,15.0
2005,2,20,7.0,2,6.3,0.32,1.9459101490553132,0.27763173659827955,44.0,8.0
2005,2,21,3.0,9,9.76,0.92,1.0986122886681098,0.6523251860396901,25.0,21.0
2005,2,22,3.0,5,3.8,1.32,1.0986122886681098,0.8415671856782188,25.0,28.000000000000004
2005,2,23,2.0,1,4.73,0.21,0.6931471805599453,0.1906203596086497,16.0,5.0
2005,2,25,4.0,2,2.99,0.67,1.3862943611198906,0.5128236264286637,32.0,16.0
2005,2,26,5.0,5,1.99,2.51,1.6094379124341003,1.2556160374777743,37.0,42.0
2005,2,27,4.0,5,6.64,0.75,1.3862943611198906,0.5596157879354227,32.0,18.0
2005,2,28,3.0,9,13.87,0.65,1.0986122886681098,0.5007752879124892,25.0,16.0
2005,2,29,5.0,5,4.06,1.23,1.6094379124341003,0.8020015854720274,37.0,26.0
2005,2,30,6.0,9,3.44,2.62,1.791759469228055,1.2864740258376797,41.0,43.0
2005,2,31,1.0,3,2.01,1.49,0.0,0.9122827104766164,0.0,30.0
2005,2,33,4.0,6,5.14,1.17,1.3862943611198906,0.7747271675523681,32.0,26.0
2005,2,34,6.0,3,4.04,0.74,1.791759469228055,0.5538851132264376,41.0,18.0
2005,2,35,1.0,2,3.08,0.65,0.0,0.5007752879124892,0.0,16.0
2005,2,37,1.0,7,4.69,1.49,0.0,0.9122827104766164,0.0,30.0
2005,2,38,4.0,2,20.3,0.1,1.3862943611198906,0.09531017980432493,32.0,2.0
2005,2,39,1.0,9,8.68,1.04,0.0,0.712949807856125,0.0,23.0
2005,2,40,1.5,6,8.98,0.67,0.4054651081081644,0.5128236264286637,9.0,16.0
2005,2,41,13.0,1,2.48,0.4,2.5649493574615367,0.3364722366212129,57.99999999999999,10.0
2005,2,42,9.5,4,10.29,0.39,2.2512917986064953,0.32930374714260047,51.0,10.0
2005,2,43,4.5,6,5.11,1.17,1.5040773967762742,0.7747271675523681,34.0,26.0
2005,2,44,8.0,2,13.98,0.14,2.0794415416798357,0.1310282624064042,47.0,3.0
2005,2,45,10.0,4,3.99,1.0,2.302585092994046,0.6931471805599453,52.0,23.0
2005,2,46,3.0,3,5.32,0.56,1.0986122886681098,0.44468582126144574,25.0,14.000000000000002
