INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES,DESC_GROUP_ENGLISH
566,2005-01-04,Feu de véhicule extérieur,Autres incendies,38,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.672088313573,-73.503789337256,1.0,Other fires
568,2005-01-04,Feu de véhicule extérieur,Autres incendies,65,Lasalle,LaSalle,14,45.430250555598,-73.6454978599727,1.0,Other fires
578,2005-01-05,10-22 avec feu,Incendies de bâtiments,19,Montréal,Ville-Marie,18,45.5217703479161,-73.5619794118284,7.0,Building fire
582,2005-01-05,Feu de bâtiment,Incendies de bâtiments,48,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.546936870644,-73.5540900553744,12.0,Building fire
595,2005-01-05,Feu / Agravation possible,Incendies de bâtiments,19,Montréal,Ville-Marie,18,45.5277893884621,-73.5464766808529,21.0,Building fire
607,2005-01-05,10-22 avec feu,Incendies de bâtiments,4,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.4977930095038,-73.651708165995,5.0,Building fire
611,2005-01-05,Feu de véhicule extérieur,Autres incendies,52,Baie-d'Urfé,Beaconsfield / Baie d'Urfé,12,45.4050605615232,-73.9336413176695,1.0,Other fires
627,2005-01-05,Feu d'auto (voie rapide),Autres incendies,42,Montréal,Ahuntsic / Cartierville,21,45.5358176500309,-73.7024514225215,2.0,Other fires
630,2005-01-05,10-22 avec feu,Incendies de bâtiments,66,Verdun / Ïle-des-Soeurs,Verdun,15,45.4565629817937,-73.5646191298697,4.0,Building fire
635,2005-01-05,10-22 avec feu,Incendies de bâtiments,48,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5506208439185,-73.5491310718314,5.0,Building fire
637,2005-01-05,Déchets en feu,Autres incendies,15,Montréal,Sud-Ouest,15,45.488832458351,-73.5442129268044,1.0,Other fires
641,2005-01-05,10-22 avec feu,Incendies de bâtiments,79,Hampstead,Côte St-Luc / Hampstead / Mtl-Ouest,14,45.4824198042645,-73.6506826230608,3.0,Building fire
646,2005-01-05,10-22 avec feu,Incendies de bâtiments,53,Beaconsfield,Beaconsfield / Baie d'Urfé,12,45.4310515977608,-73.8353889468723,3.0,Building fire
652,2005-01-05,10-22 avec feu,Incendies de bâtiments,53,Beaconsfield,Beaconsfield / Baie d'Urfé,12,45.4336438798761,-73.8424403507416,3.0,Building fire
655,2005-01-05,Feu de véhicule extérieur,Autres incendies,64,Lachine,Lachine,14,45.4348977207261,-73.6702638256655,1.0,Other fires
697,2005-01-06,Déchets en feu,Autres incendies,15,Montréal,Sud-Ouest,15,45.4792171470505,-73.5559618149269,1.0,Other fires
723,2005-01-06,Déchets en feu,Autres incendies,21,Saint-Léonard,Saint-Léonard,20,45.5900734178406,-73.6111045466018,3.0,Other fires
734,2005-01-06,Déchets en feu,Autres incendies,30,Montréal,Mont-Royal,22,45.5132971974956,-73.5730489853131,2.0,Other fires
751,2005-01-06,Feu de cheminée *,Autres incendies,55,Pointe-Claire,Pointe-Claire,12,45.4501134792976,-73.8305432798434,2.0,Other fires
753,2005-01-06,Feu de véhicule extérieur,Autres incendies,34,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.4773526204213,-73.612208673275,1.0,Other fires
759,2005-01-06,Feu de bâtiment,Incendies de bâtiments,49,Montréal,Ahuntsic / Cartierville,21,45.5349829377191,-73.6737992628633,12.0,Building fire
760,2005-01-06,Feu de véhicule extérieur,Autres incendies,5,Montréal,Ville-Marie,18,45.5154828832336,-73.567199267748,2.0,Other fires
767,2005-01-06,Déchets en feu,Autres incendies,37,Montréal,Villeray / St-Michel / Parc Extension,20,45.5527254606267,-73.6028098936238,4.0,Other fires
770,2005-01-06,Feu de cheminée *,Autres incendies,57,Pierrefonds ,Pierrefonds / Senneville,11,45.5118081069895,-73.8152539434249,3.0,Other fires
787,2005-01-06,10-22 avec feu,Incendies de bâtiments,47,Montréal,Rosemont / Petite-Patrie,22,45.5478220855448,-73.5891126586421,6.0,Building fire
790,2005-01-06,Feu de véhicule extérieur,Autres incendies,30,Montréal,Mont-Royal,22,45.5170552216785,-73.5920828500007,1.0,Other fires
791,2005-01-07,Feu de véhicule extérieur,Autres incendies,39,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5827453547063,-73.5431654708859,1.0,Other fires
811,2005-01-07,Feu de véhicule extérieur,Autres incendies,49,Montréal,Ahuntsic / Cartierville,21,45.5344285029508,-73.6606805889604,1.0,Other fires
839,2005-01-07,Feu de véhicule extérieur,Autres incendies,34,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.4832108944139,-73.6195314352255,6.0,Other fires
858,2005-01-07,10-22 avec feu,Incendies de bâtiments,65,Lasalle,LaSalle,14,45.4472608227961,-73.6211309651175,5.0,Building fire
860,2005-01-07,Feu de cheminée *,Autres incendies,39,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5934698946759,-73.561913426516,4.0,Other fires
864,2005-01-07,Feu de véhicule extérieur,Autres incendies,52,Baie-d'Urfé,Beaconsfield / Baie d'Urfé,12,45.4050605615232,-73.9336413176695,1.0,Other fires
873,2005-01-07,10-22 avec feu,Incendies de bâtiments,21,Saint-Léonard,Saint-Léonard,20,45.5904195073289,-73.6082686659975,4.0,Building fire
882,2005-01-07,Feu de véhicule extérieur,Autres incendies,35,Montréal,Ahuntsic / Cartierville,21,45.5574632960188,-73.6531142869928,1.0,Other fires
883,2005-01-07,10-22 avec feu,Incendies de bâtiments,72,Saint-Laurent,Saint-Laurent,13,45.5067483554926,-73.6846036872827,3.0,Building fire
896,2005-01-07,Feu de véhicule extérieur,Autres incendies,37,Montréal,Villeray / St-Michel / Parc Extension,20,45.5502560242982,-73.6049927777962,1.0,Other fires
